,,1,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,3,,,,,,,,3
,,,,4,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,5,,,,,5,,,,,,,,,,,,,
,,,,,,,,6,,,,,,6,,,,,,,,,,6,,,,,,,,,6,,,,6,,,,,,,,,,
,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,6,,,,,7,,,,,,,,,7,,
,,,,,6,8,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,8,,,,,,,,8,
,9,8,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,
7,,,,,,,,,,,,,,,,,10,,,9,,10,,,,,,,,10,,10,,5,,,,,,,,,,,,,
,,,,7,,,,,,,,,,,,,,10,,,,,,,,,,,,,4,,,,,4,,,,11,11,,,,,,
,,,,,,,,,,,8,,10,,,,,,,,,,,6,,,10,,7,,,,,,,,,,,,,,,8,,,9
,,,,,,,,,,,,,,,,,,,13,,,,12,,,10,,,,,,,,,,,,,12,,,,,,,,
,,,,,,,,,,10,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,,,,,,,,,,,,,8,,,,,,,,,,,5,,,,,,,,,,,,,8,,
,7,,,,,8,1,10,,,,12,,10,11,9,6,,3,6,,6,,,,,,2,,6,,,10,,13,,10,8,,,5,7,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6,,,,,4,,9,4,,,,,,,,,,,,,,,,,,,,,
,,9,,7,10,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,
